Time,Input,Response,Error
datetime,float,float,float
T,,,
07/19/17 03:0,-0.172,0.198,0.026000000000000023
07/20/17 19:0,-0.174,0.18,0.006000000000000005
07/22/17 12:0,-0.177,0.145,-0.032
07/24/17 03:0,-0.179,0.081,-0.09799999999999999
07/25/17 19:0,-0.182,0.093,-0.089
07/27/17 12:0,-0.185,0.058,-0.127
07/29/17 03:0,-0.186,0.047,-0.139
07/30/17 19:0,-0.186,0.047,-0.139
08/01/17 12:0,-0.186,0.023,-0.163
08/03/17 03:0,-0.183,0.012,-0.17099999999999999
08/04/17 19:0,-0.18,-0.006,-0.186
08/06/17 12:0,-0.175,-0.017,-0.192
08/08/17 03:0,-0.168,0.006,-0.162
08/09/17 19:0,-0.161,0.029,-0.132
08/11/17 12:0,-0.153,0.017,-0.136
08/13/17 03:0,-0.144,0.0,-0.144
08/14/17 19:0,-0.134,-0.099,-0.233
08/16/17 12:0,-0.124,-0.012,-0.136
08/18/17 03:0,-0.115,0.0,-0.115
08/19/17 19:0,-0.106,-0.006,-0.112
08/21/17 12:0,-0.097,0.0,-0.097
08/23/17 03:0,-0.089,-0.017,-0.106
08/24/17 19:0,-0.081,-0.023,-0.10400000000000001
08/26/17 12:0,-0.074,0.0,-0.074
08/28/17 03:0,-0.067,0.0,-0.067
08/29/17 19:0,-0.061,0.006,-0.055
08/31/17 12:0,-0.055,0.006,-0.049
09/02/17 03:0,-0.048,0.012,-0.036000000000000004
09/03/17 19:0,-0.042,0.017,-0.025
09/05/17 12:0,-0.035,0.017,-0.018000000000000002
09/07/17 03:0,-0.027,0.029,0.0020000000000000018
09/08/17 19:0,-0.019,0.052,0.033
09/10/17 12:0,-0.009,0.035,0.026000000000000002
09/12/17 03:0,0.001,0.029,0.030000000000000002
09/13/17 19:0,0.012,0.052,0.064
09/15/17 12:0,0.023,0.052,0.075
09/17/17 03:0,0.035,0.058,0.093
09/18/17 19:0,0.048,0.07,0.11800000000000001
09/20/17 12:0,0.06,0.07,0.13
09/22/17 03:0,0.073,0.07,0.14300000000000002
09/23/17 19:0,0.084,0.07,0.15400000000000003
09/25/17 12:0,0.095,0.058,0.153
09/27/17 03:0,0.105,0.076,0.181
09/28/17 19:0,0.113,0.087,0.2
09/30/17 12:0,0.12,0.122,0.242
10/02/17 03:0,0.125,0.122,0.247
10/03/17 19:0,0.129,0.134,0.263
10/05/17 12:0,0.131,0.14,0.271
10/07/17 03:0,0.132,0.145,0.277
10/08/17 19:0,0.131,0.157,0.28800000000000003
10/10/17 12:0,0.13,0.163,0.29300000000000004
10/12/17 03:0,0.128,0.174,0.302
10/13/17 19:0,0.126,0.186,0.312
10/15/17 12:0,0.124,0.192,0.316
10/17/17 03:0,0.122,0.174,0.296
10/18/17 19:0,0.12,0.192,0.312
10/20/17 12:0,0.119,0.203,0.322
10/22/17 03:0,0.119,0.215,0.33399999999999996
10/23/17 19:0,0.119,0.215,0.33399999999999996
10/25/17 12:0,0.12,0.215,0.33499999999999996
10/27/17 03:0,0.121,0.215,0.33599999999999997
10/28/17 19:0,0.123,0.215,0.33799999999999997
10/30/17 12:0,0.124,0.209,0.33299999999999996
11/01/17 03:0,0.125,0.215,0.33999999999999997
11/02/17 19:0,0.124,0.209,0.33299999999999996
11/04/17 12:0,0.123,0.209,0.33199999999999996
11/06/17 03:0,0.119,0.209,0.32799999999999996
11/07/17 19:0,0.114,0.209,0.323
11/09/17 12:0,0.106,0.209,0.315
11/11/17 03:0,0.096,0.209,0.305
11/12/17 19:0,0.083,0.209,0.292
11/14/17 12:0,0.068,0.215,0.28300000000000003
11/16/17 03:0,0.05,0.227,0.277
11/17/17 19:0,0.03,0.233,0.263
11/19/17 12:0,0.009,0.233,0.24200000000000002
11/21/17 03:0,-0.014,0.233,0.219
11/22/17 19:0,-0.037,0.238,0.20099999999999998
11/24/17 12:0,-0.061,0.238,0.177
11/26/17 03:0,-0.084,0.238,0.15399999999999997
11/27/17 19:0,-0.106,0.238,0.132
11/29/17 12:0,-0.127,0.238,0.11099999999999999
12/01/17 03:0,-0.147,0.238,0.091
12/02/17 19:0,-0.164,0.233,0.069
12/04/17 12:0,-0.178,0.233,0.05500000000000002
12/06/17 03:0,-0.19,0.233,0.04300000000000001
12/07/17 19:0,-0.199,0.227,0.027999999999999997
12/09/17 12:0,-0.206,0.233,0.027000000000000024
12/11/17 03:0,-0.21,0.244,0.034
12/12/17 19:0,-0.213,0.238,0.024999999999999994
12/14/17 12:0,-0.213,0.238,0.024999999999999994
12/16/17 03:0,-0.213,0.233,0.020000000000000018
12/17/17 19:0,-0.211,0.227,0.016000000000000014
12/19/17 12:0,-0.209,0.238,0.028999999999999998
12/21/17 03:0,-0.208,0.203,-0.004999999999999977
12/22/17 19:0,-0.206,0.192,-0.013999999999999985
12/24/17 12:0,-0.206,0.099,-0.10699999999999998
12/26/17 03:0,-0.206,0.169,-0.03699999999999998
12/27/17 19:0,-0.207,0.145,-0.062
12/29/17 12:0,-0.21,0.134,-0.07599999999999998
12/31/17 03:0,-0.213,0.099,-0.11399999999999999
01/01/18 19:0,-0.218,0.076,-0.14200000000000002
01/03/18 12:0,-0.223,0.064,-0.159
01/05/18 03:0,-0.228,0.076,-0.15200000000000002
01/06/18 19:0,-0.234,0.081,-0.15300000000000002
01/08/18 12:0,-0.24,0.087,-0.153
01/10/18 03:0,-0.246,0.07,-0.176
01/11/18 19:0,-0.251,0.07,-0.181
01/13/18 12:0,-0.256,0.058,-0.198
01/15/18 03:0,-0.26,0.052,-0.20800000000000002
01/16/18 19:0,-0.262,0.058,-0.20400000000000001
01/18/18 12:0,-0.264,0.052,-0.21200000000000002
01/20/18 03:0,-0.265,0.058,-0.20700000000000002
01/21/18 19:0,-0.265,0.064,-0.201
01/23/18 12:0,-0.264,0.047,-0.21700000000000003
01/25/18 03:0,-0.262,0.058,-0.20400000000000001
01/26/18 19:0,-0.261,0.058,-0.203
01/28/18 12:0,-0.259,0.052,-0.20700000000000002
01/30/18 03:0,-0.257,0.064,-0.193
01/31/18 19:0,-0.256,0.064,-0.192
02/02/18 12:0,-0.255,0.047,-0.20800000000000002
02/04/18 03:0,-0.255,0.047,-0.20800000000000002
02/05/18 19:0,-0.255,0.035,-0.22
02/07/18 12:0,-0.256,0.035,-0.221
02/09/18 03:0,-0.258,0.023,-0.23500000000000001
02/10/18 19:0,-0.259,0.012,-0.247
02/12/18 12:0,-0.261,0.012,-0.249
02/14/18 03:0,-0.262,0.017,-0.245
02/15/18 19:0,-0.263,0.023,-0.24000000000000002
02/17/18 12:0,-0.263,0.017,-0.246
02/19/18 03:0,-0.262,0.006,-0.256
02/20/18 19:0,-0.26,0.0,-0.26
02/22/18 12:0,-0.257,-0.006,-0.263
02/24/18 03:0,-0.252,-0.006,-0.258
02/25/18 19:0,-0.246,0.012,-0.23399999999999999
02/27/18 12:0,-0.238,0.006,-0.23199999999999998
03/01/18 03:0,-0.229,0.006,-0.223
03/02/18 19:0,-0.219,0.017,-0.202
03/04/18 12:0,-0.208,0.029,-0.179
03/06/18 03:0,-0.196,0.017,-0.179
03/07/18 19:0,-0.184,0.023,-0.161
03/09/18 12:0,-0.172,0.023,-0.149
03/11/18 03:0,-0.161,0.017,-0.14400000000000002
03/12/18 19:0,-0.15,0.023,-0.127
03/14/18 12:0,-0.14,0.012,-0.128
03/16/18 03:0,-0.131,0.012,-0.11900000000000001
03/17/18 19:0,-0.123,0.006,-0.11699999999999999
03/19/18 12:0,-0.115,0.0,-0.115
03/21/18 03:0,-0.109,-0.006,-0.115
03/22/18 19:0,-0.103,-0.012,-0.11499999999999999
03/24/18 12:0,-0.098,-0.012,-0.11
03/26/18 03:0,-0.093,-0.012,-0.105
03/27/18 19:0,-0.087,-0.099,-0.186
03/29/18 12:0,-0.081,0.0,-0.081
03/31/18 03:0,-0.074,0.006,-0.06799999999999999
04/01/18 19:0,-0.067,0.006,-0.061000000000000006
04/03/18 12:0,-0.057,0.006,-0.051000000000000004
04/05/18 03:0,-0.047,0.012,-0.035
04/06/18 19:0,-0.035,0.0,-0.035
04/08/18 12:0,-0.021,0.012,-0.009000000000000001
04/10/18 03:0,-0.006,0.012,0.006
04/11/18 19:0,0.01,0.006,0.016
04/13/18 12:0,0.028,0.012,0.04
04/15/18 03:0,0.045,0.006,0.051
04/16/18 19:0,0.062,0.012,0.074
04/18/18 12:0,0.079,0.006,0.085
04/20/18 03:0,0.095,0.006,0.101
04/21/18 19:0,0.11,0.006,0.116
04/23/18 12:0,0.123,0.0,0.123
04/25/18 03:0,0.133,0.006,0.139
04/26/18 19:0,0.141,0.012,0.153
04/28/18 12:0,0.146,0.012,0.158
04/30/18 03:0,0.148,0.012,0.16
05/01/18 19:0,0.148,0.023,0.17099999999999999
05/03/18 12:0,0.145,0.017,0.16199999999999998
05/05/18 03:0,0.139,-0.076,0.06300000000000001
05/06/18 19:0,0.132,0.023,0.155
05/08/18 12:0,0.123,0.035,0.158
05/10/18 03:0,0.113,0.041,0.154
05/11/18 19:0,0.102,0.07,0.172
05/13/18 12:0,0.091,0.081,0.172
05/15/18 03:0,0.081,0.081,0.162
05/16/18 19:0,0.071,0.076,0.147
05/18/18 12:0,0.063,0.064,0.127
05/20/18 03:0,0.056,0.07,0.126
05/21/18 19:0,0.05,0.064,0.114
05/23/18 12:0,0.046,0.052,0.098
05/25/18 03:0,0.044,0.052,0.096
05/26/18 19:0,0.044,0.064,0.108
05/28/18 12:0,0.044,0.064,0.108
05/30/18 03:0,0.046,0.064,0.11
05/31/18 19:0,0.049,0.064,0.113
06/02/18 12:0,0.051,0.064,0.11499999999999999
06/04/18 03:0,0.054,0.058,0.112
06/05/18 19:0,0.056,0.058,0.114
06/07/18 12:0,0.058,0.058,0.116
06/09/18 03:0,0.059,0.058,0.11699999999999999
06/10/18 19:0,0.058,0.058,0.116
06/12/18 12:0,0.056,0.064,0.12
06/14/18 03:0,0.053,0.058,0.111
06/15/18 19:0,0.049,0.058,0.10700000000000001
06/17/18 12:0,0.044,0.058,0.10200000000000001
06/19/18 03:0,0.038,0.058,0.096
06/20/18 19:0,0.031,0.064,0.095
06/22/18 12:0,0.023,0.064,0.087
06/24/18 03:0,0.016,0.064,0.08
06/25/18 19:0,0.008,0.052,0.06
06/27/18 12:0,0.001,0.052,0.053
06/29/18 03:0,-0.005,0.052,0.047
06/30/18 19:0,-0.011,0.058,0.047
07/02/18 12:0,-0.016,0.058,0.042
07/04/18 03:0,-0.02,0.058,0.038000000000000006
07/05/18 19:0,-0.023,0.07,0.04700000000000001
07/07/18 12:0,-0.025,0.064,0.039
07/09/18 03:0,-0.027,0.058,0.031000000000000003
07/10/18 19:0,-0.029,0.052,0.022999999999999996
07/12/18 12:0,-0.03,0.064,0.034
07/14/18 03:0,-0.032,0.064,0.032
07/15/18 19:0,-0.033,0.058,0.025
07/17/18 12:0,-0.035,0.058,0.023
07/19/18 03:0,-0.037,0.058,0.021000000000000005
07/20/18 19:0,-0.04,0.058,0.018000000000000002
07/22/18 12:0,-0.043,0.064,0.021000000000000005
07/24/18 03:0,-0.047,0.076,0.028999999999999998
07/25/18 19:0,-0.051,0.076,0.025
07/27/18 12:0,-0.055,0.076,0.020999999999999998
07/29/18 03:0,-0.06,0.076,0.016
07/30/18 19:0,-0.064,0.07,0.006000000000000005
08/01/18 12:0,-0.067,0.064,-0.0030000000000000027
08/03/18 03:0,-0.069,0.064,-0.0050000000000000044
08/04/18 19:0,-0.071,0.076,0.0050000000000000044
08/06/18 12:0,-0.071,-0.012,-0.08299999999999999
08/08/18 03:0,-0.07,0.076,0.0059999999999999915
08/09/18 19:0,-0.067,0.064,-0.0030000000000000027
08/11/18 12:0,-0.063,0.076,0.012999999999999998
08/13/18 03:0,-0.058,0.064,0.005999999999999998
08/14/18 19:0,-0.051,0.07,0.01900000000000001
08/16/18 12:0,-0.044,0.035,-0.008999999999999994
08/18/18 03:0,-0.036,0.058,0.022000000000000006
08/19/18 19:0,-0.028,0.041,0.013000000000000001
08/21/18 12:0,-0.021,0.052,0.030999999999999996
08/23/18 03:0,-0.013,0.052,0.039
08/24/18 19:0,-0.007,0.041,0.034
08/26/18 12:0,-0.001,0.029,0.028
08/28/18 03:0,0.003,0.017,0.02
08/29/18 19:0,0.006,0.012,0.018000000000000002
08/31/18 12:0,0.007,0.012,0.019
09/02/18 03:0,0.006,0.006,0.012
09/03/18 19:0,0.004,0.0,0.004
09/05/18 12:0,0.001,-0.006,-0.005
09/07/18 03:0,-0.002,-0.012,-0.014
09/08/18 19:0,-0.007,-0.012,-0.019
09/10/18 12:0,-0.011,-0.017,-0.028
09/12/18 03:0,-0.016,-0.023,-0.039
09/13/18 19:0,-0.019,-0.012,-0.031
09/15/18 12:0,-0.022,-0.006,-0.027999999999999997
09/17/18 03:0,-0.023,0.006,-0.017
09/18/18 19:0,-0.022,0.006,-0.016
09/20/18 12:0,-0.02,0.006,-0.014
09/22/18 03:0,-0.016,0.012,-0.004
09/23/18 19:0,-0.01,0.012,0.002
09/25/18 12:0,-0.003,0.012,0.009000000000000001
09/27/18 03:0,0.006,0.017,0.023
09/28/18 19:0,0.016,0.006,0.022
09/30/18 12:0,0.026,-0.006,0.019999999999999997
10/02/18 03:0,0.037,0.006,0.043
10/03/18 19:0,0.048,0.006,0.054
10/05/18 12:0,0.058,0.006,0.064
10/07/18 03:0,0.066,0.006,0.07200000000000001
10/08/18 19:0,0.074,0.0,0.074
10/10/18 12:0,0.079,0.006,0.085
10/12/18 03:0,0.083,0.012,0.095
10/13/18 19:0,0.084,0.006,0.09000000000000001
10/15/18 12:0,0.083,0.012,0.095
10/17/18 03:0,0.081,0.0,0.081
10/18/18 19:0,0.076,0.006,0.082
10/20/18 12:0,0.07,-0.006,0.064
10/22/18 03:0,0.063,0.0,0.063
10/23/18 19:0,0.055,0.012,0.067
10/25/18 12:0,0.047,0.017,0.064
10/27/18 03:0,0.038,0.017,0.055
10/28/18 19:0,0.031,0.029,0.06
10/30/18 12:0,0.025,0.087,0.11199999999999999
11/01/18 03:0,0.019,0.151,0.16999999999999998
11/02/18 19:0,0.016,0.122,0.138
11/04/18 12:0,0.013,0.105,0.118
11/06/18 03:0,0.013,0.07,0.083
11/07/18 19:0,0.014,0.058,0.07200000000000001
11/09/18 12:0,0.017,0.058,0.07500000000000001
11/11/18 03:0,0.021,0.052,0.073
11/12/18 19:0,0.026,0.058,0.084
11/14/18 12:0,0.032,0.064,0.096
11/16/18 03:0,0.038,0.064,0.10200000000000001
11/17/18 19:0,0.044,0.052,0.096
11/19/18 12:0,0.05,0.047,0.097
11/21/18 03:0,0.056,0.041,0.097
11/22/18 19:0,0.06,0.052,0.11199999999999999
11/24/18 12:0,0.063,0.052,0.11499999999999999
11/26/18 03:0,0.066,0.047,0.113
11/27/18 19:0,0.066,0.047,0.113
11/29/18 12:0,0.066,0.052,0.118
12/01/18 03:0,0.064,0.052,0.11599999999999999
12/02/18 19:0,0.062,0.058,0.12
12/04/18 12:0,0.058,0.058,0.116
12/06/18 03:0,0.054,0.052,0.106
12/07/18 19:0,0.05,0.052,0.10200000000000001
12/09/18 12:0,0.045,0.052,0.097
12/11/18 03:0,0.04,0.047,0.087
12/12/18 19:0,0.036,0.047,0.08299999999999999
12/14/18 12:0,0.032,0.047,0.079
12/16/18 03:0,0.028,-0.047,-0.019
12/17/18 19:0,0.025,0.047,0.07200000000000001
12/19/18 12:0,0.022,0.052,0.074
12/21/18 03:0,0.02,0.047,0.067
12/22/18 19:0,0.017,0.047,0.064
12/24/18 12:0,0.015,0.041,0.056
12/26/18 03:0,0.012,0.041,0.053000000000000005
12/27/18 19:0,0.008,0.047,0.055
12/29/18 12:0,0.005,0.052,0.056999999999999995
12/31/18 03:0,0.0,0.047,0.047
01/01/19 19:0,-0.005,0.047,0.042
01/03/19 12:0,-0.011,0.035,0.024000000000000004
01/05/19 03:0,-0.018,0.035,0.017000000000000005
01/06/19 19:0,-0.025,0.029,0.004
01/08/19 12:0,-0.032,0.035,0.0030000000000000027
01/10/19 03:0,-0.039,0.035,-0.003999999999999997
01/11/19 19:0,-0.046,0.035,-0.010999999999999996
01/13/19 12:0,-0.053,0.052,-0.0010000000000000009
01/15/19 03:0,-0.059,0.052,-0.006999999999999999
01/16/19 19:0,-0.063,0.058,-0.0049999999999999975
01/18/19 12:0,-0.067,0.058,-0.009000000000000001
01/20/19 03:0,-0.068,0.058,-0.010000000000000002
01/21/19 19:0,-0.068,0.058,-0.010000000000000002
01/23/19 12:0,-0.066,0.081,0.015
