Time,Input,Response
datetime,float,float
T,,
07/16/17 03:0,-0.149,-0.1
07/17/17 20:0,-0.151,-0.088
07/19/17 12:0,-0.153,-0.076
07/21/17 03:0,-0.153,-0.088
07/22/17 20:0,-0.151,-0.094
07/24/17 12:0,-0.148,-0.088
07/26/17 03:0,-0.143,-0.1
07/27/17 20:0,-0.136,-0.106
07/29/17 12:0,-0.128,-0.118
07/31/17 03:0,-0.117,-0.129
08/01/17 20:0,-0.105,-0.147
08/03/17 12:0,-0.092,-0.141
08/05/17 03:0,-0.079,-0.129
08/06/17 20:0,-0.067,-0.124
08/08/17 12:0,-0.054,-0.135
08/10/17 03:0,-0.042,-0.147
08/11/17 20:0,-0.028,-0.171
08/13/17 12:0,-0.016,-0.176
08/15/17 03:0,-0.005,-0.165
08/16/17 20:0,0.005,-0.165
08/18/17 12:0,0.014,-0.165
08/20/17 03:0,0.022,-0.159
08/21/17 20:0,0.029,-0.141
08/23/17 12:0,0.034,-0.135
08/25/17 03:0,0.039,-0.124
08/26/17 20:0,0.044,-0.118
08/28/17 12:0,0.047,-0.088
08/30/17 03:0,0.05,-0.082
08/31/17 20:0,0.054,-0.088
09/02/17 12:0,0.058,-0.088
09/04/17 03:0,0.063,-0.088
09/05/17 20:0,0.067,-0.076
09/07/17 12:0,0.071,-0.076
09/09/17 03:0,0.075,-0.065
09/10/17 20:0,0.079,-0.059
09/12/17 12:0,0.082,-0.047
09/14/17 03:0,0.083,-0.029
09/15/17 20:0,0.083,-0.024
09/17/17 12:0,0.081,-0.006
09/19/17 03:0,0.076,0.029
09/20/17 20:0,0.069,0.065
09/22/17 12:0,0.06,0.059
09/24/17 03:0,0.053,0.029
09/25/17 20:0,0.045,0.018
09/27/17 12:0,0.035,0.041
09/29/17 03:0,0.025,0.059
09/30/17 20:0,0.015,0.065
10/02/17 12:0,0.002,0.129
10/04/17 03:0,-0.01,0.124
10/05/17 20:0,-0.019,0.094
10/07/17 12:0,-0.025,0.071
10/09/17 03:0,-0.028,0.071
10/10/17 20:0,-0.029,0.065
10/12/17 12:0,-0.027,0.053
10/14/17 03:0,-0.023,0.065
10/15/17 20:0,-0.018,0.076
10/17/17 12:0,-0.011,0.088
10/19/17 03:0,-0.002,0.082
10/20/17 20:0,0.009,0.076
10/22/17 12:0,0.021,0.047
10/24/17 03:0,0.035,0.053
10/25/17 20:0,0.048,0.041
10/27/17 12:0,0.063,0.006
10/29/17 03:0,0.077,-0.006
10/30/17 20:0,0.09,-0.024
11/01/17 12:0,0.102,-0.035
11/03/17 03:0,0.112,-0.024
11/04/17 20:0,0.119,-0.018
11/06/17 12:0,0.125,-0.024
11/08/17 03:0,0.128,-0.018
11/09/17 20:0,0.129,-0.012
11/11/17 12:0,0.126,0.029
11/13/17 03:0,0.123,0.029
11/14/17 20:0,0.12,-0.012
11/16/17 12:0,0.115,0.047
11/18/17 03:0,0.11,0.053
11/19/17 20:0,0.105,0.065
11/21/17 12:0,0.1,0.082
11/23/17 03:0,0.095,0.106
11/24/17 20:0,0.109,-0.247
11/26/17 12:0,0.107,0.1
11/28/17 03:0,0.107,0.106
11/29/17 20:0,0.108,0.106
12/01/17 12:0,0.111,0.094
12/03/17 03:0,0.125,-0.112
12/04/17 20:0,0.131,0.076
12/06/17 12:0,0.137,0.071
12/08/17 03:0,0.141,0.094
12/09/17 20:0,0.145,0.1
12/11/17 12:0,0.147,0.124
12/13/17 03:0,0.155,-0.047
12/14/17 20:0,0.154,0.118
12/16/17 12:0,0.152,0.1
12/18/17 03:0,0.148,0.118
12/19/17 20:0,0.14,0.147
12/21/17 12:0,0.129,0.188
12/23/17 03:0,0.124,0.024
12/24/17 20:0,0.111,0.188
12/26/17 12:0,0.097,0.171
12/28/17 03:0,0.084,0.159
12/29/17 20:0,0.07,0.159
12/31/17 12:0,0.057,0.176
01/02/18 03:0,0.069,-0.329
01/03/18 20:0,0.056,0.194
01/05/18 12:0,0.045,0.194
01/07/18 03:0,0.036,0.176
01/08/18 20:0,0.029,0.176
01/10/18 12:0,0.023,0.171
01/12/18 03:0,0.044,-0.341
01/13/18 20:0,0.04,0.182
01/15/18 12:0,0.038,0.176
01/17/18 03:0,0.036,0.188
01/18/18 20:0,0.034,0.188
01/20/18 12:0,0.032,0.194
01/22/18 03:0,0.04,0.0
01/23/18 20:0,0.04,0.171
01/25/18 12:0,0.039,0.153
01/27/18 03:0,0.037,0.176
01/28/18 20:0,0.035,0.165
01/30/18 12:0,0.032,0.159
02/01/18 03:0,0.028,0.165
02/02/18 20:0,0.024,0.176
02/04/18 12:0,0.019,0.182
02/06/18 03:0,0.013,0.188
02/07/18 20:0,0.008,0.176
02/09/18 12:0,0.003,0.171
02/11/18 03:0,-0.001,0.165
02/12/18 20:0,-0.006,0.188
02/14/18 12:0,-0.01,0.188
02/16/18 03:0,-0.014,0.188
02/17/18 20:0,-0.017,0.176
02/19/18 12:0,-0.02,0.182
02/21/18 03:0,-0.023,0.171
02/22/18 20:0,-0.026,0.171
02/24/18 12:0,-0.03,0.182
02/26/18 03:0,-0.035,0.188
02/27/18 20:0,-0.041,0.188
03/01/18 12:0,-0.048,0.176
03/03/18 03:0,-0.057,0.194
03/04/18 20:0,-0.069,0.218
03/06/18 12:0,-0.081,0.176
03/08/18 03:0,-0.093,0.147
03/09/18 20:0,-0.106,0.129
03/11/18 12:0,-0.119,0.124
03/13/18 03:0,-0.134,0.124
03/14/18 20:0,-0.149,0.129
03/16/18 12:0,-0.165,0.135
03/18/18 03:0,-0.18,0.129
03/19/18 20:0,-0.194,0.124
03/21/18 12:0,-0.207,0.124
03/23/18 03:0,-0.217,0.106
03/24/18 20:0,-0.225,0.106
03/26/18 12:0,-0.229,0.082
03/28/18 03:0,-0.234,0.129
03/29/18 20:0,-0.233,0.088
03/31/18 12:0,-0.229,0.065
04/02/18 03:0,-0.221,0.035
04/03/18 20:0,-0.21,0.024
04/05/18 12:0,-0.198,0.024
04/07/18 03:0,-0.183,-0.006
04/08/18 20:0,-0.171,0.088
04/10/18 12:0,-0.154,-0.029
04/12/18 03:0,-0.135,-0.047
04/13/18 20:0,-0.117,-0.071
04/15/18 12:0,-0.098,-0.088
04/17/18 03:0,-0.081,-0.094
04/18/18 20:0,-0.065,-0.1
04/20/18 12:0,-0.051,-0.112
04/22/18 03:0,-0.039,-0.112
04/23/18 20:0,-0.028,-0.112
04/25/18 12:0,-0.021,-0.094
04/27/18 03:0,-0.015,-0.088
04/28/18 20:0,-0.01,-0.076
04/30/18 12:0,-0.007,-0.076
05/02/18 03:0,-0.004,-0.076
05/03/18 20:0,-0.002,-0.059
05/05/18 12:0,-0.001,-0.029
05/07/18 03:0,0.0,-0.012
05/08/18 20:0,0.001,0.018
05/10/18 12:0,0.004,-0.006
05/12/18 03:0,0.008,0.0
05/13/18 20:0,0.011,0.041
05/15/18 12:0,0.016,0.029
05/17/18 03:0,0.022,0.029
05/18/18 20:0,0.029,0.029
05/20/18 12:0,0.036,0.029
05/22/18 03:0,0.044,0.024
05/23/18 20:0,0.052,0.006
05/25/18 12:0,0.059,0.018
05/27/18 03:0,0.064,0.024
05/28/18 20:0,0.069,0.018
05/30/18 12:0,0.071,0.024
06/01/18 03:0,0.072,0.012
06/02/18 20:0,0.072,0.0
06/04/18 12:0,0.071,-0.012
06/06/18 03:0,0.067,0.0
06/07/18 20:0,0.062,0.0
06/09/18 12:0,0.055,0.018
06/11/18 03:0,0.046,0.047
06/12/18 20:0,0.031,0.135
06/14/18 12:0,0.015,0.176
06/16/18 03:0,-0.004,0.212
06/17/18 20:0,-0.018,0.153
06/19/18 12:0,-0.031,0.124
06/21/18 03:0,-0.042,0.124
06/22/18 20:0,-0.053,0.135
06/24/18 12:0,-0.062,0.124
06/26/18 03:0,-0.07,0.124
06/27/18 20:0,-0.076,0.106
06/29/18 12:0,-0.081,0.112
07/01/18 03:0,-0.086,0.124
07/02/18 20:0,-0.09,0.129
07/04/18 12:0,-0.095,0.135
07/06/18 03:0,-0.099,0.153
07/07/18 20:0,-0.104,0.153
07/09/18 12:0,-0.108,0.124
07/11/18 03:0,-0.11,0.088
07/12/18 20:0,-0.109,0.035
07/14/18 12:0,-0.108,0.018
07/16/18 03:0,-0.106,0.0
07/17/18 20:0,-0.105,0.012
07/19/18 12:0,-0.104,0.029
07/21/18 03:0,-0.103,0.024
07/22/18 20:0,-0.101,0.012
07/24/18 12:0,-0.097,-0.006
07/26/18 03:0,-0.092,-0.018
07/27/18 20:0,-0.086,-0.024
07/29/18 12:0,-0.078,-0.029
07/31/18 03:0,-0.069,-0.035
08/01/18 20:0,-0.059,-0.029
08/03/18 12:0,-0.049,-0.029
08/05/18 03:0,-0.038,-0.029
08/06/18 20:0,-0.027,-0.024
08/08/18 12:0,-0.017,-0.006
08/10/18 03:0,-0.006,-0.029
08/11/18 20:0,0.005,-0.053
08/13/18 12:0,0.015,-0.065
08/15/18 03:0,0.03,-0.171
08/16/18 20:0,0.036,-0.059
08/18/18 12:0,0.04,-0.047
08/20/18 03:0,0.042,-0.029
08/21/18 20:0,0.039,-0.006
08/23/18 12:0,0.035,-0.012
08/25/18 03:0,0.032,-0.071
08/26/18 20:0,0.024,-0.018
08/28/18 12:0,0.014,0.0
08/30/18 03:0,0.002,0.024
08/31/18 20:0,-0.009,0.0
09/02/18 12:0,-0.02,-0.006
09/04/18 03:0,-0.021,-0.188
09/05/18 20:0,-0.033,0.047
09/07/18 12:0,-0.044,0.059
09/09/18 03:0,-0.053,0.047
09/10/18 20:0,-0.06,0.053
09/12/18 12:0,-0.065,0.041
09/14/18 03:0,-0.049,-0.324
09/15/18 20:0,-0.049,0.029
09/17/18 12:0,-0.047,0.035
09/19/18 03:0,-0.046,0.065
09/20/18 20:0,-0.042,0.035
09/22/18 12:0,-0.037,0.024
09/24/18 03:0,-0.023,-0.165
09/25/18 20:0,-0.018,0.018
09/27/18 12:0,-0.014,0.012
09/29/18 03:0,-0.009,-0.012
09/30/18 20:0,-0.007,-0.006
10/02/18 12:0,-0.006,-0.018
10/04/18 03:0,0.003,-0.229
10/05/18 20:0,0.002,-0.065
10/07/18 12:0,0.0,-0.071
10/09/18 03:0,-0.005,-0.071
10/10/18 20:0,-0.01,-0.082
10/12/18 12:0,-0.017,-0.076
10/14/18 03:0,-0.016,-0.253
10/15/18 20:0,-0.024,-0.065
10/17/18 12:0,-0.033,-0.059
10/19/18 03:0,-0.042,-0.047
10/20/18 20:0,-0.05,-0.041
10/22/18 12:0,-0.057,-0.047
10/24/18 03:0,-0.036,-0.571
10/25/18 20:0,-0.04,-0.053
10/27/18 12:0,-0.041,-0.059
10/29/18 03:0,-0.042,-0.047
10/30/18 20:0,-0.04,-0.047
11/01/18 12:0,-0.038,-0.047
11/03/18 03:0,-0.008,-0.582
11/04/18 20:0,-0.003,-0.065
11/06/18 12:0,0.003,-0.071
11/08/18 03:0,0.008,-0.071
11/09/18 20:0,0.014,-0.071
11/11/18 12:0,0.018,-0.071
11/13/18 03:0,0.023,-0.076
11/14/18 20:0,0.026,-0.088
11/16/18 12:0,0.03,-0.1
11/18/18 03:0,0.033,-0.112
11/19/18 20:0,0.035,-0.124
11/21/18 12:0,0.037,-0.124
11/23/18 03:0,0.037,-0.124
11/24/18 20:0,0.038,-0.124
11/26/18 12:0,0.038,-0.124
11/28/18 03:0,0.038,-0.118
11/29/18 20:0,0.039,-0.118
12/01/18 12:0,0.04,-0.112
12/03/18 03:0,0.041,-0.112
12/04/18 20:0,0.043,-0.106
12/06/18 12:0,0.046,-0.1
12/08/18 03:0,0.049,-0.094
12/09/18 20:0,0.053,-0.088
12/11/18 12:0,0.058,-0.088
12/13/18 03:0,0.063,-0.082
12/14/18 20:0,0.068,-0.082
12/16/18 12:0,0.073,-0.082
12/18/18 03:0,0.078,-0.076
12/19/18 20:0,0.082,-0.071
12/21/18 12:0,0.085,-0.059
12/23/18 03:0,0.086,-0.047
12/24/18 20:0,0.088,-0.053
12/26/18 12:0,0.088,-0.053
12/28/18 03:0,0.088,-0.059
12/29/18 20:0,0.087,-0.059
12/31/18 12:0,0.086,-0.053
01/02/19 03:0,0.084,-0.047
01/03/19 20:0,0.081,-0.024
01/05/19 12:0,0.077,0.012
01/07/19 03:0,0.073,0.035
01/08/19 20:0,0.067,0.071
01/10/19 12:0,0.063,0.053
01/12/19 03:0,0.062,0.024
01/13/19 20:0,0.062,0.035
01/15/19 12:0,0.062,0.047
01/17/19 03:0,0.063,0.065
01/18/19 20:0,0.064,0.071
01/20/19 12:0,0.065,0.071
01/22/19 03:0,0.067,0.059
01/23/19 20:0,0.069,0.059
01/25/19 12:0,0.071,0.065
01/27/19 03:0,0.071,0.071
01/28/19 20:0,0.069,0.076
01/30/19 12:0,0.066,0.076
02/01/19 03:0,0.061,0.088
02/02/19 20:0,0.053,0.088
02/04/19 12:0,0.043,0.094
02/06/19 03:0,0.032,0.094
02/07/19 20:0,0.019,0.071
02/09/19 12:0,0.005,0.065
02/11/19 03:0,-0.01,0.065
02/12/19 20:0,-0.025,0.065
02/14/19 12:0,-0.041,0.065
02/16/19 03:0,-0.057,0.059
02/17/19 20:0,-0.071,0.065
02/19/19 12:0,-0.086,0.076
02/21/19 03:0,-0.098,0.076
02/22/19 20:0,-0.109,0.065
02/24/19 12:0,-0.116,0.059
02/26/19 03:0,-0.122,0.071
02/27/19 20:0,-0.126,0.082
03/01/19 12:0,-0.127,0.082
03/03/19 03:0,-0.126,0.076
03/04/19 20:0,-0.124,0.071
03/06/19 12:0,-0.12,0.082
03/08/19 03:0,-0.116,0.1
03/09/19 20:0,-0.11,0.059
03/11/19 12:0,-0.104,0.053
03/13/19 03:0,-0.098,0.053
03/14/19 20:0,-0.092,0.035
03/16/19 12:0,-0.088,0.035
03/18/19 03:0,-0.084,0.0
03/19/19 20:0,-0.082,0.0
03/21/19 12:0,-0.081,-0.029
03/23/19 03:0,-0.082,-0.024
03/24/19 20:0,-0.085,-0.018
03/26/19 12:0,-0.09,-0.018
03/28/19 03:0,-0.097,-0.018
03/29/19 20:0,-0.104,-0.035
03/31/19 12:0,-0.111,-0.041
04/02/19 03:0,-0.119,-0.047
04/03/19 20:0,-0.126,-0.047
04/05/19 12:0,-0.134,-0.035
04/07/19 03:0,-0.141,-0.012
04/08/19 20:0,-0.148,-0.024
04/10/19 12:0,-0.152,-0.041
04/12/19 03:0,-0.155,-0.041
04/13/19 20:0,-0.156,-0.059
04/15/19 12:0,-0.156,-0.065
04/17/19 03:0,-0.154,-0.071
04/18/19 20:0,-0.15,-0.088
04/20/19 12:0,-0.145,-0.1
04/22/19 03:0,-0.14,-0.106
04/23/19 20:0,-0.135,-0.088
04/25/19 12:0,-0.131,-0.088
04/27/19 03:0,-0.127,-0.088
04/28/19 20:0,-0.123,-0.1
04/30/19 12:0,-0.119,-0.106
05/02/19 03:0,-0.115,-0.112
05/03/19 20:0,-0.112,-0.124
05/05/19 12:0,-0.11,-0.118
05/07/19 03:0,-0.108,-0.112
05/08/19 20:0,-0.106,-0.112
05/10/19 12:0,-0.104,-0.118
05/12/19 03:0,-0.101,-0.124
05/13/19 20:0,-0.098,-0.118
05/15/19 12:0,-0.094,-0.124
05/17/19 03:0,-0.089,-0.124
05/18/19 20:0,-0.083,-0.124
05/20/19 12:0,-0.077,-0.118
05/22/19 03:0,-0.069,-0.118
05/23/19 20:0,-0.06,-0.118
05/25/19 12:0,-0.05,-0.118
05/27/19 03:0,-0.039,-0.124
05/28/19 20:0,-0.028,-0.129
05/30/19 12:0,-0.016,-0.124
06/01/19 03:0,-0.006,-0.118
06/02/19 20:0,0.005,-0.124
06/04/19 12:0,0.015,-0.129
06/06/19 03:0,0.025,-0.135
06/07/19 20:0,0.033,-0.124
06/09/19 12:0,0.04,-0.129
06/11/19 03:0,0.046,-0.129
